date,Open,High,Low,Close,Adj Close,Volume,upvotes,num_comments,compound,positive,neutral,negative,SMA_5,EMA_50,RSI_14,Bollinger_MA,Bollinger_STD,Bollinger_Upper,Bollinger_Lower,LogMomentum
2010-10-25,0.27308082580566406,0.29774999618530273,0.30000001192092896,0.2944999933242798,0.29725000262260437,673136000.0,221.0,151.5,0.4528836397366433,0.15934237612070787,0.7768756987951168,0.06363543672249043,0.29510000348091125,0.2944999933242798,0.0,0.29510000348091125,0.0028427545639426147,0.3007855126087965,0.289414494353026,0.013490957201329179
2010-10-26,0.27216386795043945,0.296750009059906,0.30125001072883606,0.2917500138282776,0.2942500114440918,675248000.0,221.0,151.5,0.4528836397366433,0.15934237612070787,0.7768756987951168,0.06363543672249043,0.29510000348091125,0.2943921509911032,0.0,0.29510000348091125,0.0028427545639426147,0.3007855126087965,0.289414494353026,0.013490957201329179
2010-10-27,0.2760615944862366,0.3009999990463257,0.3019999861717224,0.2932499945163727,0.2939999997615814,496796000.0,221.0,151.5,0.4528836397366433,0.15934237612070787,0.7768756987951168,0.06363543672249043,0.29510000348091125,0.2943473605411138,35.29399389923215,0.29510000348091125,0.0028427545639426147,0.3007855126087965,0.289414494353026,0.013490957201329179
2010-10-28,0.2762909233570099,0.30125001072883606,0.3059999942779541,0.2985000014305115,0.3050000071525574,704448000.0,221.0,151.5,0.4528836397366433,0.15934237612070787,0.7768756987951168,0.06363543672249043,0.29510000348091125,0.2945102092034432,71.05274715622119,0.29510000348091125,0.0028427545639426147,0.3007855126087965,0.289414494353026,0.013490957201329179
2010-10-29,0.27560311555862427,0.3005000054836273,0.30375000834465027,0.29750001430511475,0.3007499873638153,554664000.0,221.0,151.5,0.4528836397366433,0.15934237612070787,0.7768756987951168,0.06363543672249043,0.29510000348091125,0.2946274564623323,64.28587647593098,0.29510000348091125,0.0028427545639426147,0.3007855126087965,0.289414494353026,0.013490957201329179
2010-11-01,0.2760615944862366,0.3009999990463257,0.3072499930858612,0.2985000014305115,0.30250000953674316,473920000.0,221.0,151.5,0.4528836397366433,0.15934237612070787,0.7768756987951168,0.06363543672249043,0.2959000051021576,0.2947793209708884,67.3914282900636,0.2959000051021576,0.003175097437186268,0.30225019997653013,0.28954981022778503,0.013490957201329179
2010-11-02,0.28179386258125305,0.3072499930858612,0.3122499883174896,0.3005000054836273,0.3022499978542328,581036000.0,221.0,151.5,0.4528836397366433,0.15934237612070787,0.7768756987951168,0.06363543672249043,0.29765000343322756,0.2950036615400154,72.22235713040004,0.29765000343322756,0.002690263931522829,0.3030305312962732,0.2922694755701819,0.029550453659246502
2010-11-03,0.283857524394989,0.3095000088214874,0.31150001287460327,0.30125001072883606,0.30924999713897705,671748000.0,221.0,151.5,0.4528836397366433,0.15934237612070787,0.7768756987951168,0.06363543672249043,0.2992500066757202,0.29524861641016525,73.68435362198812,0.2992500066757202,0.0015612496809533282,0.3023725060376269,0.29612750731381354,0.026915051585169426
2010-11-04,0.28431597352027893,0.3100000023841858,0.31575000286102295,0.3095000088214874,0.3125,700016000.0,221.0,151.5,0.4528836397366433,0.15934237612070787,0.7768756987951168,0.06363543672249043,0.3014500081539154,0.2958074945439426,83.3334437125566,0.3014500081539154,0.004744734077511456,0.31093947630893837,0.2919605399988925,0.036188183002043
2010-11-05,0.2891309857368469,0.3152500092983246,0.3179999887943268,0.31075000762939453,0.3122499883174896,735116000.0,221.0,151.5,0.4528836397366433,0.15934237612070787,0.7768756987951168,0.06363543672249043,0.30410000681877136,0.2963934754492545,84.21063198630722,0.30410000681877136,0.00560858895099407,0.3153171847207595,0.29288282891678324,0.043574481872268825
